bin_centers,bin_edges,hist
13802.781458384106,13788.311259695365,2377
13831.721855761589,13817.251657072848,2361
13860.662253139075,13846.192054450332,2247
13889.602650516557,13875.132451827816,2240
13918.54304789404,13904.072849205299,2323
13947.483445271522,13933.013246582781,2272
13976.423842649008,13961.953643960265,2305
14005.36424002649,13990.89404133775,2377
14034.304637403973,14019.834438715232,2263
14063.245034781457,14048.774836092716,2364
14092.185432158942,14077.715233470199,2290
14121.125829536424,14106.655630847683,2338
14150.066226913907,14135.596028225165,2263
14179.006624291393,14164.53642560265,2245
14207.947021668875,14193.476822980134,2257
14236.887419046358,14222.417220357616,2369
14265.827816423842,14251.357617735099,2253
14294.768213801326,14280.298015112585,2105
14323.708611178808,14309.238412490067,2366
14352.649008556291,14338.17880986755,2087
14381.589405933777,14367.119207245034,2222
14410.52980331126,14396.059604622518,2217
