bin_centers,bin_edges,hist
2978.610576923077,2964.221153846154,15478
3007.389423076923,2993.0,16381
3036.1682692307695,3021.778846153846,16201
3064.9471153846152,3050.5576923076924,15942
3093.725961538462,3079.3365384615386,16150
3122.5048076923076,3108.1153846153848,15764
3151.2836538461534,3136.8942307692305,16012
3180.0625,3165.6730769230767,15515
3208.8413461538457,3194.451923076923,15908
3237.6201923076924,3223.230769230769,15836
3266.399038461538,3252.0096153846152,15222
3295.1778846153848,3280.7884615384614,15512
3323.9567307692305,3309.5673076923076,15625
3352.735576923077,3338.346153846154,15735
3381.514423076923,3367.125,2547
3410.2932692307695,3395.903846153846,14723
3439.0721153846152,3424.6826923076924,15567
3467.850961538462,3453.4615384615386,15157
3496.6298076923076,3482.2403846153848,15821
3525.4086538461534,3511.0192307692305,14687
3554.1875,3539.7980769230767,15347
3582.9663461538457,3568.576923076923,15230
3611.7451923076924,3597.355769230769,15302
3640.524038461538,3626.1346153846152,14919
3669.3028846153848,3654.9134615384614,14945
3698.0817307692305,3683.6923076923076,14902
3726.860576923077,3712.471153846154,15268
3755.639423076923,3741.25,14918
3784.4182692307695,3770.028846153846,14400
3813.1971153846152,3798.8076923076924,14882
3841.975961538462,3827.5865384615386,14835
3870.7548076923076,3856.3653846153848,15215
3899.5336538461534,3885.1442307692305,13994
3928.3125,3913.9230769230767,14968
3957.0913461538457,3942.701923076923,15012
3985.8701923076924,3971.480769230769,14409
4014.649038461538,4000.2596153846152,14670
4043.4278846153848,4029.0384615384614,13966
4072.2067307692305,4057.8173076923076,14458
4100.985576923077,4086.596153846154,13961
4129.764423076923,4115.375,14279
4158.5432692307695,4144.153846153846,13771
4187.322115384615,4172.932692307692,14335
4216.100961538461,4201.711538461538,14558
4244.879807692308,4230.490384615385,14103
4273.658653846154,4259.2692307692305,14143
4302.4375,4288.048076923077,4304
4331.216346153846,4316.826923076923,11513
4359.995192307692,4345.6057692307695,14197
4388.774038461539,4374.384615384615,13907
4417.552884615385,4403.163461538462,13465
4446.3317307692305,4431.942307692308,14038
4475.110576923076,4460.721153846153,13810
4503.889423076923,4489.5,13989
4532.6682692307695,4518.278846153846,13773
4561.447115384615,4547.057692307692,13283
4590.225961538461,4575.836538461538,13906
4619.004807692308,4604.615384615385,13671
4647.783653846154,4633.3942307692305,13595
4676.5625,4662.173076923077,12833
4705.341346153846,4690.951923076923,13616
4734.120192307692,4719.7307692307695,13419
4762.899038461539,4748.509615384615,13538
4791.677884615385,4777.288461538462,13473
4820.4567307692305,4806.067307692308,13107
4849.235576923076,4834.846153846153,13468
4878.014423076923,4863.625,13280
4906.7932692307695,4892.403846153846,13339
4935.572115384615,4921.182692307692,13068
4964.350961538461,4949.961538461538,13071
4993.129807692308,4978.740384615385,13318
5021.908653846154,5007.5192307692305,12803
5050.6875,5036.298076923077,13414
5079.466346153846,5065.076923076923,12596
5108.245192307692,5093.8557692307695,12919
5137.024038461539,5122.634615384615,13005
5165.802884615385,5151.413461538462,12839
5194.5817307692305,5180.192307692308,12411
5223.360576923076,5208.971153846153,5788
5252.139423076923,5237.75,8518
5280.9182692307695,5266.528846153846,12719
5309.697115384615,5295.307692307692,12892
5338.475961538461,5324.086538461538,12090
5367.254807692308,5352.865384615385,12855
5396.033653846154,5381.6442307692305,12647
5424.8125,5410.423076923077,12422
5453.591346153846,5439.201923076923,12079
5482.370192307692,5467.9807692307695,12577
5511.149038461538,5496.759615384615,12654
5539.927884615385,5525.538461538461,12140
5568.7067307692305,5554.317307692308,12452
5597.485576923076,5583.096153846153,11907
5626.264423076923,5611.875,12101
5655.0432692307695,5640.653846153846,12321
5683.822115384615,5669.432692307692,11978
5712.600961538461,5698.211538461538,11887
5741.379807692308,5726.990384615385,12242
5770.158653846154,5755.7692307692305,12030
5798.9375,5784.548076923077,12007
5827.716346153846,5813.326923076923,12029
5856.495192307692,5842.1057692307695,11609
5885.274038461538,5870.884615384615,11845
