bin_centers,bin_edges,hist
4139.975000574001,4125.5500005720005,14145
4168.825000578,4154.400000576,14420
4197.675000582,4183.25000058,14508
4226.525000586,4212.100000584001,13675
4255.37500059,4240.950000588,14216
4284.225000594,4269.800000592,13407
4313.075000598001,4298.650000596001,2645
4341.925000602,4327.5000006,14366
4370.7750006060005,4356.350000604,14127
4399.62500061,4385.200000608001,13922
4428.475000614,4414.050000612,13469
4457.325000618001,4442.900000616,14062
4486.175000622001,4471.750000620001,13916
4515.025000626,4500.600000624,13848
4543.87500063,4529.450000628,13780
4572.725000634,4558.300000632,13562
4601.575000638,4587.150000636,14028
4630.425000642001,4616.0000006400005,13105
4659.275000646,4644.850000644,13578
4688.12500065,4673.700000648,13400
4716.975000654,4702.550000652001,13529
4745.825000658,4731.400000656,13472
4774.6750006620005,4760.25000066,13347
4803.525000666001,4789.100000664001,13275
4832.37500067,4817.950000668,13356
4861.2250006740005,4846.800000672,13443
4890.075000678,4875.650000676001,13264
4918.925000682,4904.50000068,13451
4947.775000686001,4933.350000684,13505
4976.625000690001,4962.200000688001,12849
5005.475000694,4991.050000692,12688
5034.325000698,5019.9000006960005,13234
5063.175000702,5048.7500007,13131
5092.025000706,5077.600000704,12862
5120.875000710001,5106.4500007080005,13179
5149.725000714,5135.300000712,12981
5178.575000718,5164.150000716,12789
5207.425000722,5193.000000720001,12046
5236.275000726,5221.850000724,1906
5265.1250007300005,5250.700000728,12863
5293.975000734001,5279.550000732001,12602
5322.825000738,5308.400000736,12797
5351.6750007420005,5337.25000074,12493
5380.525000746,5366.100000744001,12372
5409.37500075,5394.950000748,12471
5438.225000754001,5423.800000752,12527
5467.075000758001,5452.650000756001,12460
5495.925000762,5481.50000076,12803
5524.775000766,5510.3500007640005,12493
5553.62500077,5539.200000768,12257
5582.475000774,5568.050000772,11789
5611.325000778001,5596.9000007760005,12251
5640.175000782,5625.75000078,12285
5669.025000786,5654.600000784,12211
5697.87500079,5683.450000788001,12296
5726.725000794,5712.300000792,11921
5755.5750007980005,5741.150000796,12184
5784.425000802001,5770.000000800001,11670
5813.275000806,5798.850000804,12061
5842.1250008100005,5827.700000808,11982
5870.975000814,5856.550000812001,11814
5899.825000818,5885.400000816,11916
5928.675000822001,5914.25000082,11971
5957.525000826001,5943.100000824001,11199
5986.37500083,5971.950000828,11850
6015.225000834001,6000.8000008320005,11652
6044.075000838,6029.650000836001,11960
6072.925000842,6058.50000084,11671
6101.775000846001,6087.3500008440005,11888
6130.62500085,6116.200000848,11429
6159.475000854,6145.050000852,1353
6188.325000858,6173.900000856001,11282
6217.175000862,6202.75000086,11552
6246.0250008660005,6231.600000864,11571
6274.875000870001,6260.450000868001,11456
6303.725000874,6289.300000872,11435
6332.5750008780005,6318.150000876,10822
6361.425000882,6347.000000880001,11241
6390.275000886,6375.850000884,11373
6419.125000890001,6404.700000888,11281
6447.975000894001,6433.550000892001,11308
6476.825000898,6462.400000896,11119
6505.675000902001,6491.2500009000005,10963
6534.525000906,6520.100000904001,10606
6563.37500091,6548.950000908,11139
6592.225000914001,6577.8000009120005,11109
6621.075000918,6606.650000916,10893
6649.925000922,6635.50000092,11063
6678.775000926,6664.350000924001,10669
6707.62500093,6693.200000928,10999
6736.4750009340005,6722.050000932,10571
6765.325000938001,6750.900000936001,10826
6794.175000942,6779.75000094,10678
6823.025000946001,6808.600000944,10820
6851.87500095,6837.450000948001,10610
6880.725000954,6866.300000952,10759
6909.575000958001,6895.150000956,10215
6938.425000962001,6924.000000960001,10476
6967.275000966,6952.850000964,10847
6996.125000970001,6981.7000009680005,10660
7024.975000974,7010.550000972001,7066
7053.825000978,7039.400000976,5525
7082.675000982001,7068.250000980001,798
7111.525000986001,7097.100000984001,5417
7140.37500099,7125.950000988,5516
7169.225000994,7154.800000992001,5637
7198.075000998,7183.650000996,5528
7226.9250010020005,7212.500001,5508
7255.775001006001,7241.350001004001,5485
7284.62500101,7270.200001008,5490
7313.475001014001,7299.050001012,5612
7342.325001018,7327.900001016001,10274
7371.175001022,7356.75000102,9953
7400.025001026001,7385.600001024,10125
7428.875001030001,7414.450001028001,10269
7457.725001034,7443.300001032,10009
7486.575001038001,7472.1500010360005,10202
7515.425001042,7501.000001040001,9696
7544.275001046,7529.850001044,10167
7573.125001050001,7558.700001048001,9728
7601.975001054001,7587.550001052001,9852
7630.825001058,7616.400001056,10017
7659.675001062,7645.250001060001,9830
7688.525001066,7674.100001064,9311
7717.3750010700005,7702.950001068,9663
7746.225001074001,7731.800001072001,9903
7775.075001078,7760.650001076,9398
7803.925001082001,7789.50000108,9633
7832.775001086,7818.350001084001,9706
7861.62500109,7847.200001088,9748
7890.475001094001,7876.0500010920005,9280
7919.325001098001,7904.900001096001,9698
7948.175001102,7933.7500011,9607
7977.025001106001,7962.6000011040005,9632
8005.87500111,7991.450001108001,1720
8034.725001114,8020.300001112,8948
8063.575001118001,8049.150001116001,9445
8092.425001122001,8078.000001120001,9238
8121.2750011260005,8106.850001124,9565
8150.125001130001,8135.700001128001,9428
8178.975001134,8164.550001132001,9436
8207.825001138,8193.400001136,9192
8236.675001142,8222.25000114,9279
8265.525001146001,8251.100001144001,8834
8294.375001150001,8279.950001148001,9229
8323.225001154,8308.800001152,9055
8352.075001158,8337.650001156,9101
8380.925001162,8366.50000116,9000
8409.775001166001,8395.350001164,9178
8438.62500117,8424.200001168001,9036
8467.475001174,8453.050001172,8640
8496.325001178,8481.900001176,9078
8525.175001182,8510.75000118,8876
8554.025001186,8539.600001184,9022
8582.875001190001,8568.450001188,9042
8611.725001194001,8597.300001192001,8739
8640.575001198,8626.150001196,9084
8669.425001202,8655.0000012,8410
8698.275001206,8683.850001204,8847
8727.12500121,8712.700001208,8732
8755.975001214001,8741.550001212001,8852
8784.825001218,8770.400001216001,8520
8813.675001222,8799.25000122,8774
8842.525001226,8828.100001224,8279
8871.37500123,8856.950001228,8622
8900.225001234001,8885.800001232,8704
8929.075001238001,8914.650001236001,2225
8957.925001242002,8943.500001240001,7204
8986.775001246,8972.350001244,8520
9015.62500125,9001.200001248,8399
9044.475001254,9030.050001252,8187
9073.325001258001,9058.900001256,8619
9102.175001262,9087.750001260001,8312
9131.025001266,9116.600001264,8399
9159.87500127,9145.450001268,8563
9188.725001274,9174.300001272,8048
9217.575001278,9203.150001276,8529
9246.425001282001,9232.000001280001,8104
9275.275001286001,9260.850001284001,8001
9304.12500129,9289.700001288,8216
9332.975001294,9318.550001292,8295
9361.825001298,9347.400001296,8063
9390.675001302001,9376.2500013,8201
9419.525001306001,9405.100001304001,7774
9448.37500131,9433.950001308001,8047
9477.225001314,9462.800001312,8094
9506.075001318,9491.650001316,8030
9534.925001322,9520.50000132,8218
9563.775001326001,9549.350001324001,7984
9592.625001330001,9578.200001328001,8082
9621.475001334,9607.050001332,7698
9650.325001338,9635.900001336,7897
9679.175001342,9664.75000134,8010
9708.025001346,9693.600001344,7834
9736.875001350001,9722.450001348001,7803
9765.725001354,9751.300001352001,7622
9794.575001358,9780.150001356,7714
9823.425001362,9809.00000136,7797
9852.275001366,9837.850001364,2629
9881.125001370001,9866.700001368,6104
9909.975001374001,9895.550001372001,7876
9938.825001378002,9924.400001376001,7470
9967.675001382,9953.25000138,7724
9996.525001386,9982.100001384,7467
10025.37500139,10010.950001388,7370
10054.225001394001,10039.800001392001,4549
10083.075001398,10068.650001396001,3657
10111.925001402,10097.5000014,3543
10140.775001406,10126.350001404,3585
10169.62500141,10155.200001408,3345
10198.475001414,10184.050001412,3293
10227.325001418001,10212.900001416001,3530
10256.175001422002,10241.750001420001,3526
10285.025001426,10270.600001424,3535
10313.87500143,10299.450001428,3360
10342.725001434,10328.300001432,3533
10371.575001438001,10357.150001436,3347
10400.425001442001,10386.000001440001,3420
10429.275001446,10414.850001444001,3271
10458.12500145,10443.700001448,3538
10486.975001454,10472.550001452,3374
10515.825001458,10501.400001456,3499
10544.675001462001,10530.250001460001,3268
10573.525001466001,10559.100001464001,3348
10602.37500147,10587.950001468,3237
10631.225001474,10616.800001472,3315
10660.075001478,10645.650001476,3396
10688.925001482,10674.50000148,3371
10717.775001486001,10703.350001484001,3385
10746.62500149,10732.200001488001,3232
10775.475001494,10761.050001492,1107
10804.325001498,10789.900001496,2383
10833.175001502,10818.7500015,3231
10862.025001506001,10847.600001504,3246
10890.875001510001,10876.450001508001,3370
10919.725001514002,10905.300001512001,3255
10948.575001518,10934.150001516,3142
10977.425001522,10963.00000152,2910
11006.275001526,10991.850001524,3252
11035.125001530001,11020.700001528001,3109
11063.975001534,11049.550001532001,3266
11092.825001538,11078.400001536,3222
11121.675001542,11107.25000154,3066
11150.525001546,11136.100001544,2986
11179.37500155,11164.950001548,3174
11208.225001554001,11193.800001552001,3095
11237.075001558002,11222.650001556001,3273
11265.925001562,11251.50000156,3252
11294.775001566,11280.350001564,3071
11323.62500157,11309.200001568,2946
11352.475001574001,11338.050001572,3093
11381.325001578001,11366.900001576001,3026
11410.175001582,11395.750001580001,3184
11439.025001586,11424.600001584,3272
11467.87500159,11453.450001588,2886
11496.725001594,11482.300001592,3067
11525.575001598001,11511.150001596001,3022
11554.425001602001,11540.000001600001,2937
11583.275001606002,11568.850001604002,3058
11612.12500161,11597.700001608,3082
11640.975001614,11626.550001612,2911
11669.825001618,11655.400001616,2953
11698.675001622001,11684.250001620001,1337
11727.525001626,11713.100001624001,1917
11756.37500163,11741.950001628,2915
11785.225001634,11770.800001632,2911
11814.075001638,11799.650001636,2915
11842.925001642001,11828.50000164,3000
11871.775001646001,11857.350001644001,2890
11900.625001650002,11886.200001648001,2864
11929.475001654,11915.050001652,2684
11958.325001658,11943.900001656,2888
11987.175001662,11972.75000166,2876
12016.025001666001,12001.600001664001,2902
12044.875001670001,12030.450001668001,3039
12073.725001674,12059.300001672002,2750
12102.575001678,12088.150001676,2844
12131.425001682,12117.00000168,2736
12160.275001686,12145.850001684,2930
12189.125001690001,12174.700001688001,2730
12217.975001694002,12203.550001692001,2866
12246.825001698,12232.400001696,2683
12275.675001702,12261.2500017,2888
12304.525001706,12290.100001704,2770
12333.375001710001,12318.950001708,2677
12362.225001714001,12347.800001712001,2719
12391.075001718,12376.650001716001,2907
12419.925001722,12405.50000172,2699
12448.775001726,12434.350001724,2741
12477.62500173,12463.200001728,2856
12506.475001734001,12492.050001732001,2713
12535.325001738001,12520.900001736001,2570
12564.175001742002,12549.750001740002,2721
12593.025001746,12578.600001744,2752
12621.87500175,12607.450001748,1381
12650.725001754001,12636.300001752,1777
12679.575001758001,12665.150001756001,2700
12708.425001762,12694.000001760001,2590
12737.275001766,12722.850001764,2556
12766.12500177,12751.700001768,2677
12794.975001774,12780.550001772,2580
12823.825001778001,12809.400001776,2722
12852.675001782001,12838.250001780001,2604
12881.525001786002,12867.100001784002,2577
12910.37500179,12895.950001788,2615
12939.225001794,12924.800001792,2717
12968.075001798,12953.650001796,2699
12996.925001802001,12982.500001800001,2551
13025.775001806001,13011.350001804001,2574
13054.62500181,13040.200001808002,2577
13083.475001814,13069.050001812,2549
13112.325001818,13097.900001816,2531
13141.175001822001,13126.75000182,2467
13170.025001826001,13155.600001824001,2525
13198.875001830002,13184.450001828001,2560
13227.725001834,13213.300001832,2400
13256.575001838,13242.150001836,2557
13285.425001842,13271.00000184,2389
13314.275001846001,13299.850001844,2397
13343.125001850001,13328.700001848001,2511
13371.975001854,13357.550001852002,2519
13400.825001858,13386.400001856,2402
13429.675001862,13415.25000186,2393
13458.525001866,13444.100001864,2453
13487.375001870001,13472.950001868001,2406
13516.225001874001,13501.800001872001,2506
13545.075001878002,13530.650001876002,1313
13573.925001882,13559.50000188,1321
13602.775001886,13588.350001884,2308
13631.625001890001,13617.200001888,2385
13660.475001894001,13646.050001892001,2219
13689.325001898002,13674.900001896001,2328
